,text
59,"<|endoftext|>Austin is a surfer. He took a trip to the beach during surfing season and the highest wave he caught was two feet higher than four times his height. The shortest wave he caught was four feet higher than his height. The shortest wave was three feet higher than his 7-foot surfboard is long. How tall was the highest wave Austin caught?: The shortest wave was 7 + 3 = <<7+3=10>>10 feet tall.
Austin is 10 - 4 = <<10-4=6>>6 feet tall.
Thus, the highest wave Austin caught was 6 * 4 + 2 = 24 + 2 = <<6*4+2=26>>26 feet tall.
#### 26<|endoftext|>"
60,"<|endoftext|>One dress requires 5.5 yards of fabric. Amare needs to make 4 dresses for the wedding and she has 7 feet of fabric. How many feet of fabric does Amare still need for the dresses?: Dresses = 5.5 * 4 = <<5.5*4=22>>22 yards
22 yards = <<22*3=66>>66 feet
66 - 7 = <<66-7=59>>59
Amare still needs 59 feet of fabric.
#### 59<|endoftext|>"
61,"<|endoftext|>Some friends wanted to make a road trip from New York to Los Angeles. They drove at a constant speed of 62 miles/hour, taking breaks of 30 minutes every 5 hours. Once in the city, they looked for the hotel for 30 minutes. If the trip took around 2,790 miles, how many hours will they have to spend to complete the trip to the hotel?: At a constant speed of 62 miles/hour, they will drive 2,790 miles / 62 miles/hour = <<2790/62=45>>45 hours in total.
Every 5 hours they take a break, they will take 45 hours / 5 hours/break = <<45/5=9>>9 breaks.
Those breaks will be 9 breaks x 30 minutes/break = <<9*30=270>>270 minutes in total.
In hours, the breaks will be in total 270 minutes ÷ 60 minutes/hour = <<270/60=4.5>>4.5 hours
To find the hotel it took them 30 minutes ÷ 60 minutes/hour = <<30/60=0.5>>0.5 hours
In total, it will take 45 hours + 4.5 hours + 0.5 hours = <<45+4.5+0.5=50>>50 hours to complete the trip.
#### 50<|endoftext|>"
62,"<|endoftext|>Jack and Jill are friends who borrow from each other often. Last week Jack borrowed  $1200 from Jill, which he promised to pay back with an interest of 10%. How much will Jack pay back?: The interest on the loan is 0.1*1200=$<<0.1*1200=120>>120
The total amount Jack needs to pay back is 1200+120=<<1200+120=1320>>1320
#### 1320<|endoftext|>"
63,"<|endoftext|>Jefferson has 56 bananas, while Walter, his friend, has 1/4 times fewer bananas. If they decide to combine their bananas and share them equally between themselves, how many bananas does Walter get?: Walter has 1/4 * 56 bananas = <<1/4*56=14>>14 fewer bananas.
If Jefferson has 56 bananas, then Walter has 56 bananas - 14 bananas = <<56-14=42>>42 bananas
When they combine their bananas, they have a total of 42 bananas + 56 bananas = <<42+56=98>>98 bananas.
After dividing the bananas equally, Walter gets 98 bananas/2 = <<98/2=49>>49 bananas
#### 49<|endoftext|>"
64,"<|endoftext|>On a construction site, a mason has to build 6 courses of a wall, each having 10 bricks per course. He has to build 4 such walls and realized he won't be able to finish two courses of the last wall because there were not enough bricks. What's the total number of bricks that he has used?: If he has to build 4 walls, each having 6 courses, the total number of courses to be built is 4 * 6 = <<4*6=24>>24 courses.
If each course has 10 bricks, then the total of bricks for the courses is 24 * 10 = <<24*10=240>>240 bricks.
The total number of bricks missing to finish the last wall is 2 * 10 = <<2*10=20>>20 bricks.
The total number of used bricks is 240 - 20 = <<240-20=220>>220 bricks.
#### 220<|endoftext|>"
65,"<|endoftext|>There are 180 days in a school year.  A senior can skip their final exams if they miss 5% or less of the school year.  Hazel has missed 6 days of school due to illness.  How many more days can she miss and still not have to take her exams?: There are 180 days in the school year and she can miss up to 5% so that’s 180*.05 = <<180*.05=9>>9 days
Hazel has been sick 6 days already and she can only miss 9 days or less so she can miss 9-6 = <<9-6=3>>3 more days
#### 3<|endoftext|>"
66,"<|endoftext|>Buoys are placed in the ocean at even intervals away from the beach to help swimmers monitor how far away from the beach they have swum. If a swimmer reaches the third buoy, they have swum out 72 meters. How many meters from the beach is the fourth buoy?: The buoys are evenly spaced, so the first buoy is 72 / 3 = <<72/3=24>>24 meters from the beach.
Thus, the fourth buoy is 24 * 4 = <<24*4=96>>96 meters from the beach.
#### 96<|endoftext|>"
67,"<|endoftext|>Irene shares half of a small apple with her dog every day.  A small apple weighs about 1/4 of a pound.  She can currently buy apples for $2.00 a pound.  How much will she spend so that she and her dog have enough apples to last for 2 weeks?: There are 7 days in a week and she needs apples for 2 weeks so that's 7*2 = <<7*2=14>>14 days
She shares an apple with her dog every day so for 14 days so she needs 1*14 = <<1*14=14>>14 apples
Each apple weighs 1/4 of a pound and she needs 14 apples so that's .25*14 = <<1/4*14=3.5>>3.5 pounds of apples
She needs 3.5 pounds of apples and they are on sale for $2.00 a pound so she will spend 3.5*2 = $<<3.5*2=7.00>>7.00 for apples
#### 7<|endoftext|>"
68,"<|endoftext|>John skateboarded for 10 miles and then walked another 4 miles to the park. He then skated all the way back home. How many miles has John skateboarded in total?: John traveled 10 + 4 = <<10+4=14>>14 miles to the park.
His round trip would take 14 x 2 = <<14*2=28>>28 miles.
If you subtract the 4 miles he walked then John traveled 28 - 4 = <<28-4=24>>24 miles.
#### 24<|endoftext|>"
69,"<|endoftext|>John's neighbor tells him to walk his dog for 1 hour each day for a total of $10. He does this for April, save for the 4 Sundays in April. He later spent $50 on books and gave his sister Kaylee the same amount. How much money did John have left?: April has 30 days, so if he didn't walk the dog on Sundays, he worked for a total of 30 days - 4 days = <<30-4=26>>26 days.
If each day he earned $10, he ends up with 26 days * $10/day = $<<26*10=260>>260 .
After buying books and giving his sister $50, he ends up with $260 - $50 - $50 = $<<260-50-50=160>>160
#### 160<|endoftext|>"
70,"<|endoftext|>A sack of rice, which is 50 kilograms,  costs $50. If David sells it for $1.20 per kilogram, how much will be his profit?: David's revenue for the 50 kilograms of rice is $1.20 x 50 = $<<1.20*50=60>>60.
So, his profit is $60 - $50 = $<<60-50=10>>10.
#### 10<|endoftext|>"
71,"<|endoftext|>Tyler weighs 25 pounds more than Sam. Peter weighs half as much as Tyler. If Peter weighs 65 pounds, how much does Sam weigh, in pounds?: Tyler weighs 65*2=<<65*2=130>>130 pounds.
Sam weighs 130-25=<<130-25=105>>105 pounds.
#### 105<|endoftext|>"
72,"<|endoftext|>Tim rides his bike back and forth to work for each of his 5 workdays.  His work is 20 miles away.  He also goes for a weekend bike ride of 200 miles.    If he can bike at 25 mph how much time does he spend biking a week?: He bikes 20*2=<<20*2=40>>40 miles each day for work
So he bikes 40*5=<<40*5=200>>200 miles for work
That means he bikes a total of 200+200=<<200+200=400>>400 miles for work
So he bikes a total of 400/25=<<400/25=16>>16 hours
#### 16<|endoftext|>"
73,"<|endoftext|>The cost of building a certain house in an area is 100,000 more than the construction cost of each of the houses in the area.  But it sells for 1.5 times as much as the other houses, which sell at $320,000 each. How much more profit is made by spending the extra money to build?: The house cost 320,000*1.5=$<<320000*1.5=480000>>480,000
So it is worth 480,000-320,000=$<<480000-320000=160000>>160,000 more than other houses
So the profit is 160,000-100,000=$<<160000-100000=60000>>60,000 more
#### 60,000<|endoftext|>"
74,"<|endoftext|>Ayen jogs for 30 minutes every day during weekdays. This week on Tuesday, she jogged 5 minutes more and also jogged 25 minutes more on Friday. How many hours, in total, did Ayen jog this week?: Ayen jogged for a total of 30 x 3 = <<30*3=90>>90 minutes on Monday, Wednesday, and Thursday.
She jogged for 30 + 5 = <<30+5=35>>35 minutes on Tuesday.
She also jogged for 30 + 25 = <<30+25=55>>55 minutes on Friday.
So, Ayen jogged for a total of 90 + 35 + 55 = <<90+35+55=180>>180 minutes.
In hours, this is equal to 180 minutes / 60 minutes/hour = <<180/60=3>>3 hours.
#### 3<|endoftext|>"
75,"<|endoftext|>The total number of years in a century is the same as the number of marbles Gideon has. If he gives 3/4 of the marbles to his sister and multiples the number of remaining marbles by 2, he gets his age five years from now. How old is Gideon now?: A century has 100 years, and if Gideon has as many marbles as the number of years in a century, he has 100 marbles.
If he gives 3/4 of the marbles to his sister, he gives out 3/4*100 = <<3/4*100=75>>75 marbles.
Gideon's total number of marbles remaining after giving 3/4 of the marbles to his sister is 100-75=<<100-75=25>>25.
When he multiplies the number of remaining marbles by 2, he gets his age five years from now, meaning he will be 25*2=<<25*2=50>>50 years old five years from now.
Currently, Gideon is 50-5 = <<50-5=45>>45 years old.
#### 45<|endoftext|>"
76,"<|endoftext|>Johnny buys 15 packs of colored pencils for his class. Each pack has a red, yellow, and green pencil inside. When he gets home he notices that 3 of the packs have two extra red pencils inside. How many red colored pencils did Johnny buy?: Johnny bought 15 packs, and every normal pack has 1 red pencil. He should have 15 * 1 = <<15*1=15>>15 red pencils.
3 of the packs have 2 extra red colored pencils, so there are 3 * 2 = <<3*2=6>>6 extra red pencils.
In total, Johnny has 15 + 6 = <<15+6=21>>21 red colored pencils.
#### 21<|endoftext|>"
77,"<|endoftext|>Megan has read 32 books this year.  Kelcie has read 1/4 the amount of books that Megan has read.  Greg has read 9 more than twice the number of books that Kelcie has read.  How many books total have Megan, Kelcie, and Greg read?: Kelcie: 32/4=<<32/4=8>>8 books
Greg: 9+2(8)=25 books
Total:32+8+25=<<32+8+25=65>>65 books
#### 65<|endoftext|>"
78,"<|endoftext|>In the school election, Eliot got twice as many votes as Shaun, and Shaun got 5 times as many votes as Randy. If Randy got 16 votes, how many did Eliot get?: Shaun got 5*16=<<5*16=80>>80 votes
Eliot got 80*2=<<80*2=160>>160 votes
#### 160<|endoftext|>"
79,"<|endoftext|>Calvin buys a pack of chips, for $0.50, from the vending machine at lunch, 5 days a week. After 4 weeks, how much money has Calvin spent on chips?: The chips cost $0.50 a bag and he buys them 5 days a week so that's .50*5 = $<<0.50*5=2.50>>2.50 a week
If he spends $2.50 on chips a week then over 4 weeks he will spend 2.50*4 = $<<2.50*4=10.00>>10.00 on chips
#### 10<|endoftext|>"
80,"<|endoftext|>Leo and Ryan together have $48. Ryan owns 2/3 of the amount. Leo remembered that Ryan owed him $10 but he also owed Ryan $7. After the debts had been settled, how much money does Leo have?: Ryan owns $48 x 2/3 = $<<48*2/3=32>>32 of the $48.
While Leo owns $48 - $32 = $<<48-32=16>>16 of the $48.
Leo had $16 + $10 = $<<16+10=26>>26 after Ryan paid him $10.
But since he owed Ryan $7, then Leo has $26 - $7 = $<<26-7=19>>19.
#### 19<|endoftext|>"
81,"<|endoftext|>A camping site recorded a total of 150 campers for the past three weeks. Two weeks ago, there were 40 campers which was 10 more than the number of campers three weeks ago. How many campers were there last week?: Three weeks ago, there were 40 - 10 = <<40-10=30>>30 campers.
The total number of campers from three to two weeks ago is 30 + 40 = <<30+40=70>>70.
Hence, there were 150 - 70 = <<150-70=80>>80 campers last week.
#### 80<|endoftext|>"
82,"<|endoftext|>Three towns, Toadon, Gordonia, and Lake Bright, have 80000 people. Gordonia has 1/2 times the total population in the three cities. If the population of Toadon is 60 percent of Gordonia's population, how many people live in Lake Bright?: The population of Gordonia is 1/2 * 80000 people = 40000 people
Toadon has 60/100 * 40000 people = <<60/100*40000=24000>>24000 people
The total population of Gordonia and Toadon is 40000 people + 24000 people = <<40000+24000=64000>>64000 people
The population of Lake Bright is 80000 people - 64000 people = <<80000-64000=16000>>16000 people
#### 16000<|endoftext|>"
83,"<|endoftext|>It takes 3 beehives to make enough wax to make 12 candles. How many hives does it take to make 96 candles?: First find the number of candles produced per hive: 12 candles / 3 hives = <<12/3=4>>4 candles/hive
Then divide the total number of candles by the number of candles per hive to find the number of hives: 96 candles / 4 candles/hive = <<96/4=24>>24 hives
#### 24<|endoftext|>"
84,"<|endoftext|>Tim's website got 100 visitors a day for the first 6 days and then on the last day of the week it got twice as many visitors as every other day combined.  If he gets $.01 per visit how much did he make that week?: In the first 6 days, he got 6*100=<<6*100=600>>600 visits
So on the 7th day, he got 600*2=<<600*2=1200>>1200 visitors
So he got a total of 1200+600=<<1200+600=1800>>1800 visitors
That means he made 1800*.01=$<<1800*.01=18>>18
#### 18<|endoftext|>"
85,"<|endoftext|>John goes to the bakery to buy rolls.  They sell them for 5 dollars for a dozen.  He spent 15 dollars.  How many rolls did he get?: He got 15/5=<<15/5=3>>3 dozen
So he bought 3*12=<<3*12=36>>36 rolls
#### 36<|endoftext|>"
86,"<|endoftext|>Utopia National Park hosted 30,000 elephants on Friday night. The next morning, there was a 4-hour elephant exodus out of the park, at a constant rate of 2,880 elephants/hour. Over the next 7-hour period, new elephants entered the park at a constant rate. If the final number of elephants in the park was 28,980, at what rate did the new elephants enter the park?: The Saturday morning exodus out of the park comprised 4*2880 = <<4*2880=11520>>11520 elephants
This means that after the exodus, the park was left with 30000 - 11520 = <<30000-11520=18480>>18480 elephants
Since the final number of elephants was 28,980, the new elephants that entered were 28980 - 18480 = <<28980-18480=10500>>10500
The rate at which the new elephants entered the park was therefore 10500/7 = <<10500/7=1500>>1500 elephants/hour
#### 1500<|endoftext|>"
